Anonymized Message,Valence1,Valence2,Arousal1,Arousal2
i'm not aloud to touch my cats kittens yet :'(,4,3,2,4
Had a great birthday with friends and had lots of fun and wish it never would have ended.,7,7,2,1
"backpack got stolen, pe teacha hates me. yeaa 2010 isnt going so good -_-",4,2,2,2
"We got spirt,  yes we do, We got spirt how 'bout you.... i think i will vomit next time i hear that.",4,3,2,3
"last night with my sweetheart kaitlyn so fun lol. so is the best girl in the world ,)",6,8,3,2
should be looking for a job right now.,5,4,1,1
didn't get nothin done i said i was today..... still got jr !!!!!... (bullshit !!!!!) at least it should be different 2marrow !!!! (i hope !!!!!),4,5,7,9
I'm back! And not a moment too soon,5,5,4,5
Has too catch them all! Want to trade a Bullbasaur for a Weezing?...................well answer me foo.,5,5,4,4
YEY I got to miss swim practice this afternoon for a doctors appointment!!! :-)),6,7,4,6
"It takes courage and honesty to see ourselves as we really are, but it's the only way to become the kind of people we want to be.",5,5,2,2
I want my girlfriend to be with me right now so we can cuddle,6,5,1,1
i love when the night time comes. i love it.,6,8,2,1
"(, itss been a while since i painted my nails black*",6,6,2,3
im so noob! i cant take this shit!! :(,3,3,4,7
Going to build an igloo and snowman with <PERSON>:) Hahaha yes where still children at heart!,6,7,4,5
had a great weekend I hope everyone else did as well :),7,7,3,2
"happy, got new friends, and lifes getting smoother.",8,8,2,1
Don't you just despise when somebody makes up something just to make u look bad?,4,2,2,1
trust takes year to build and seconds to destroy,5,4,2,1
"Thank you ALL for the wonderful B-Day wishes.  I had an absolutely wonderful day a great dinner alone with my Hubby and have really enjoyed my days off this week.  I could go back to a 4-work day week real quick!  Wishing all of my wonderful friends and family a very happy and safe Christmas.  Congrats <PERSON> on your new little love that now shares a birthday with me ,).  I can't wait to meet her!! XOXO",8,9,5,5
guess wt? i changed my perofile picture!.... again . whoo! big shocker there ddn't c dat 1 comin'. bt mabe this picture is better than all d kristen photos i've had...atleast i think so.,6,5,4,5
Thanks for the LOVE guys.  I had an AWESOME Birthday.  Im 28 years wise!  LOVE YALL!!!!,7,9,6,7
"i run over a fork on ur car, coz im a ninja!! lol",5,5,5,5
NMCMLL its hard and stoof...,5,4,2,3
man who knew drawing could be so fun...and tireing at the same time life is good though,5,7,2,3
"According to Urbandictionary.com: <PERSON>=1. a person who uses the services of a prostitute          2. a very extremely confusing guy. shows that he has feelings for you sometimes, but then might just randomly stop talking to you at any time. very flirtatious. manwhore. will lead you on. hilarious. full of charisma. you have to love him. boys are jealous of him. girls are jealous of the girl he is flirting with",5,5,1,1
Capricorn A journey of self-improvement ends almost before it starts when you find out there's a kind of waffle stuffed with cheese and booze.,5,5,2,1
The best thing about me is you...,6,7,1,3
is excited to see friends and family we will be in florence the 21-23 then the rest of our time we will be in raleigh/middleof nowwhereville it will be fun!,6,7,5,5
wants out....again.,4,3,1,3
"Went in to hospital for a few hours, but they stopped the contractions.  I still don't know if that's good or bad, lol.  I'm 34 1/2 weeks, so it is still a little early...guess we'll wait :)  Besides, I don't want to share my birthday with anyone!!",6,6,5,5
Ik im dumb but u gotta love me... u gotta love me right? xD,5,6,4,4
I love you mom. I dont want you to go but it hurts to see you live in such pain.,3,2,4,1
Chouiefat People that thinks mr.<PERSON> teaches better football than our school he is wrong i won yesterday 2 boys 10-1,5,5,2,1
"not sure if this is bad parenting (or over-care) but i think aidan has a dickie do\ and it is adorable! i love round bellies on toddlers!!! LOL!\""""",6,7,6,7
went to a beautiful wedding today :) all of my friends are getting married.,6,7,3,3
"I'm 34 years old and I still don't understand a lot of things, but i'm cool with who I  am.",6,8,3,1
Loved Aisha !!! Its soooo like Delhi................,6,7,6,6
just got back from the dew tour! got to chill with ryan sheckler and a bunch more pro skaters,6,6,5,4
"is enjoying my last day of leave :(... Working on my new song before I get back to morrow to sort out Project Awards, Photo Competition Bridge Building and writing my new article for CE magazine...",5,4,2,4
Thanks to all for your birthday wishes....xxxxx,6,7,3,2
i need a massage......,5,5,1,3
went to juniper last night had a good time with the jeep. got rained on and was soaked when I got home,6,6,2,1
It's going to be a long day tomorrow....,5,5,1,3
will this yr ever end.   Lord knows.  hopefully something will happed for the good of all of us. Lets keep smiles and uplifting spirits and maybe it will turn out for the best for all,6,6,2,1
why cant this all just end and go away!! its not worth all the tears,4,1,6,6
Be Who You Are and Say What You Feel Because Those Who Mind Don't Matter and Those Who Matter Don't Mind. -- Dr. Seuss,6,6,1,1
It takes 7 secs for food to pass from mouth to stomach. A human hair can hold 3 kg. The length of a penis is 3 times the length of the thumb. The femur is as hard as concrete. A woman's heart beats faster than a man's. Women blink twice as much as men. We use 300 muscles just to keep our balance when we stand. The woman has read this entire text. The man is still looking at his thumb. Repost if this made you smile!,5,6,3,4
"Cus you thought you'd win, 	but I'd knew you'd lose, 	Honey, I'm flyer than altitude cruise,",5,5,1,1
Crisis! I have run out of Marmite!!!! :-(,5,4,6,7
who in the world is Mouhamed Ali Mido?????? hes kinda creepy,4,4,5,5
The best part of 'Kites' was the trailer of 'I Hate Luv Storys'...................... Want my money back  :-(,4,4,3,3
Good game guys! We finally won by more then one goal and it put us in the semis :),6,7,5,4
"Oh my goodness!!!! I love my boyfriend!!! He's so nice, and wonderful, and thoughtful!!! And when I'm sad, he always cheers me right up!!!! I haven't felt this happy in soooo long!!!!!",7,9,9,9
Its hard to understand that the one who hurt you is the one you trusted most...huhuhuhu....sori for me!!!!!!!,4,2,6,8
I'M SO BORED! NUTHINZ ON MY MIND,4,4,5,7
"Wow, <PERSON>, what a jackass.  Seriously?  You doubt evolution and mock the proven facts of the missing links leading to humanity.  You sir are an asshole.  Last time I checked, I haven't actually seen 'God' kickin around my neighborhood lately.  I guess fiction, I'm sorry the bible, is more important than nonfiction these days...",4,2,6,4
Friends are angels who lift us to our feet when our wings have trouble remembering how to fly.......!!<3<3,6,9,4,6
To all my friends who had Restaurant City..Please please gift my friend Donny Chan please..,5,5,2,3
is drinking australian <PERSON>to try how it helps under sleepless,5,5,1,1
H1N1 Visits FAFB...How do you feel about it?,5,5,1,3
bejeweled blitz!!  =],6,7,5,6
here comes the weekend.... but no plans :(,4,3,3,4
The roof! The roof! the roof of walmart's on fire!......Hahahaha,5,5,6,5
Baking cookies!! (= I love the 4th,7,7,6,6
UGLY uniforms!!!!!!!!!!!!!!!!! We look as bad as we play.,4,2,9,8
"if you knew what was on my mind, you'd be begging for a safety room with the jacket that makes u hug yourself!!!",4,4,6,7
it is raining,5,5,1,1
is a lover not a fighter.. but he's a fighter too so don't get any ideas,5,5,2,3
nice day maybe i should do something.........nah,5,5,1,2
"Oh god, i think i'm going to die no computer. :<",4,4,2,3
Consumed by anger.,4,2,1,1
im so good at sleep i can do it with my eyes closedÃ¢â‚¬Å’,5,5,1,1
check out what's new in my profile... give me a buzz... =),6,6,3,3
"My father once told me, We are always dying",4,3,2,1
"liver,bacon,onions mash and gravy mmmm",6,6,2,2
"is in Palm Coast, Florida :)",6,6,3,2
"not yet done with my APE... having lunch with Dadi Jay in Pepper Lunch, EDSA Shangri-la",5,5,1,1
i finally finished my project!!! . . . but i still got tutor homework ='[,5,4,6,6
Goodnight.,5,5,1,1
What to do? What to do?,5,5,1,3
"Life has handed me a fare share of lemons. I have decided to make grape juice with them, then stand back and watch everyone wonder how the hell I did it.. :)c",6,7,2,3
so excited... getting hibachi later!!!,7,6,7,7
thinks it's weird that Facebook deleted half of his wall...,5,4,2,3
Is drowning in work =(,4,3,1,2
LOST 20lbs JUST NEED TO LOSE 40 MORE,5,6,4,3
whats going on today? its 11 am and im already bored. Hit me up,5,4,2,1
Thanks for the b-day wishes to all,6,5,2,1
"Everything we hear is an opinion, not a fact. Everything we see is a perspective, not the truth",5,5,1,1
Wow!first day of scol,5,5,3,5
"Before you criticize someone,	 you should walk a mile in their shoes. That way, when you criticize 	them, you're a mile away and you have their shoes.",5,5,2,1
nite nite my sweet fb nite owls!,6,6,4,5
"so we got to elkins high school late, had to set up with all the middle school already there, played a good concert, waited around for about a half an hour, played another one, went to walmart, got free food, went back, packed up, and went home, it was a looonnnggggg day!!!!! :D",6,7,7,7
Merry Christmas to all and to all a good night!,6,6,5,5
is wanting to go white-water rafting this summer in Colorado! Who wants to join me for some fun?,6,6,5,4
missing my girls!!!!,4,4,7,6
Giving in to nostalgia,5,5,2,1
can't wait to kick ass at kickboxing tonight!,6,6,6,5
I am getting ready to go out in the real world and cut me some trees..... can someone please ask someone in charge to pay the heat bill?  it's a little chilly!!!!,5,4,6,6
"goal number 1, graduate school and get a job:CHECK been there done that. Goal number 2, become fluent in spanish and star in a spanish soap opera: in progress",5,5,2,1
Watching Lost Boys and being all mopey.....,5,4,2,2
"Listening to Judas Priest, drinking Jameson whiskey, and updating facebook.",5,5,1,1
Thank you all for the birthday wishes!!!,6,6,6,6
"Please hold, your status messages are important to me.",5,5,2,1
HEHEHEHAHAHA lol. Just got my new carrr!!!  So excited!!,6,7,6,8
People change I guess... Things they couldn't do before they can do now... Not because of you but because of others... Just because you're happy for them doesn't mean you can't be a little hurt because you've been left behind... Forgotten :(,4,2,2,3
Wow,5,5,1,2
live today,5,5,1,1
"Just got my aftercare call from my tattoo artist. Awww, he even asked about my car, too kind! Tattoo is fine, car is still sick but at the Dr's. (Deep Breath) Favor Lord? More More More Favor",6,5,3,3
"boooooooooooooooooooooooored, what the faaaaaack",4,4,2,4
thank you for all the birthday wishes! i love you all<3,7,8,6,5
"I hate living in a society where torturing one animal is cruelty, but torturing many animals is science.",4,2,2,3
Heard blues by the bay from my house... Did a ton of laundry. Did a dump run.. And went to my moms and stacked wood. Now i'm helping fold 10baskets of cloth.,5,5,1,1
thanks everyone for the birthday greetings,6,5,2,1
My stomach was making the rumblies        <PERSON>     That only hand would satisfy,5,5,1,1
trevwon't go too bed,4,5,1,1
oh so tirrred.. to behave? or not to behave........,5,5,1,2
Thanks to all for my birthday wishesssssss,7,5,4,3
"Totally psyched! Just registered for the Wedding Planners Institute of CanadaÃ¢â‚¬â„¢s June 26th & 27th, 2010 course!",6,6,6,5
Huhuuh :( skool holidays is ending soon! So soon!,4,3,5,5
wants to thank all her buddies for the birthday wishes. thank you all.,7,5,3,1
Fell asleep way too early dude now im up!,5,5,4,4
i only want positive news on fb from now on everybody cheer up,6,5,1,3
"There are as many nights as        days, and the one is just as long as the other in the year's course.        Even a happy life cannot be without a measure of darkness, and the word        'happy' would lose its meaning if it were not balanced by sadness..",4,6,1,1
thinks its time that she starts designing 'Man'...!!,6,5,4,5
PISS N LOVE,5,5,4,5
i wasn't the son my father wanted,2,1,1,1
Love is a kind of torment as a lover should endure,5,5,2,1
If we dont fight for what we believe in what would be the point of living? Use your voice and stand up for something!,6,6,5,5
Is addled due to his ''sweet tooth'' and wishes the ants were here. *_*,5,4,3,2
who hates me thumbs up?,5,3,2,1
wow! i absolutly live in a house w/damn fools  i got one on the for talkin to me on the phone and she aint even related idr y she was i got one in the room screamin bitchin for that reason she was phone then i got one damn that aint nobody listen to askin who i'm on the phone with no yo damn bidness god! what am i gon do and i'm still half awake,4,1,5,5
I'm kinda sad I keep missing episodes of America The Story of Us on the History Channel. It's truly a Greek tragedy.,4,4,2,1
I am a nutjobbbbbbbbbbbbbbbbbbbbbb,4,4,4,4
"Let's see who is paying attention. Every single one of you are on my friends list, as a result of a conscious decision. I wanted you there! I am not only glad to count you as friends, but also as family. Let's see who on my friends' list actually pays attention. Copy and paste this as .........your......status.... I'll be watching to see who repost and comments.",5,7,1,3
Am I the only one who thinks valentines day isn't that bad?,5,5,2,2
cs61a blows my mind every week.,5,5,1,1
Awww Mann...,5,4,1,3
won 20 dollars from a 1 dollar lottery ticket and I plan to use it for food.,6,5,1,1
Makin garlic bread for dinner... Yummm :3 <-suchahippie<3->,7,6,2,4
"Anyone who knows someone who has had cancer, should check this documentary out, very interesting. Its called The Beautiful Truth\. 		<URL>""""",5,5,1,1
Things are starting to look up... :),7,7,2,4
boycott <PERSON> for she needs her sleep to get through her high fever.,4,5,2,1
"ugh, i dnt wanna go to class tonight!!!!!!!!",4,4,8,9
me sore everywhere T____T,4,4,1,3
I love Daniel with aaaaaaaaaaalllllllllllll of my heart :):):) Love<PERSON> xxxxx,8,8,5,5
wtf??? Wagner??? go home!!!!,4,4,6,8
great birthday-great friends-i'm such a lucky girl---zoo today!,7,8,5,5
..................................................:P,5,6,1,5
happy birthday lolo nonito!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,7,6,7,9
grr...I hate being sick!,4,3,6,5
"Shout Out To Melpo !! Love The 4X0T308Look , You FULLY Rock =P Cyaaz In English !!",7,8,7,6
It's a sad day in Patriots land today. I Guess that's what I get for talking so much smack.,4,4,2,1
is it too early to be relaxing sipping on a long neck CORONA? *hick* : ),6,6,2,4
thank you to whoever it was that sent the roses from Malaysia...there was no name so im just saying a general thank you to everyone....pics will be up soon....xox,6,6,2,3
fixin 2 go crazy blaaaaaaaaaa i just did bamaboyz 4 life,5,5,3,2
not feeling well... @_@,4,4,1,3
R.I.P.<PERSON>,4,5,1,1
i'm not dirty as yo think I am!,5,5,5,5
This friday is my sons last set of chemo!Thank God!!,7,7,6,6
Had a really nice day :),7,8,1,3
I like Artest.,5,5,1,1
"Recuperating after LASIK..  My day has been filled with naps, eye drops, and more naps! =D",6,7,4,5
Love is the capacity to take care,6,5,1,1
Should I put better pics of myself up on fb or take off pics from my album...thoughts?,5,5,2,3
"Aglow from all the possibilities ahead of me. Now, how to make them happen...hmmm...",5,7,1,3
is tired of homework...spring break feels about as real as santa clause. (and no there is no such person),4,3,2,3
"Started blogging, now let's try and keep it up!",6,5,5,5
Fuck the fire alarm. . . !,4,4,4,6
"Please copy and paste this to your status if you know someone, or have been affected by someone, who needs a smack upside the head. People who need a smack upside the head affect the lives of many. There is still no known cure for someone who deserves a smack upside the head, except a smack upside the head,... but we can raise awareness. Many won't copy and paste this. I did. Will you?",5,5,1,3
"octopus prediction  spain will win the cup\\""""",5,5,1,1
Thank you everyone for the birthday wishes!  I had a great day!,7,7,5,5
Do it in the woods!,5,5,4,5
"If You live to be a Hundred years, I want to live to be a Hundred minus one Day so that I never have to live without you. LOVE<PERSON>! :)",6,8,5,5
"God is not a man, so	he does not lie.	He is not human, so	he does not change	his mind.	Has he ever spoken and	failed to act?	Has he ever promised	and not carried it	through?",5,5,2,1
p.p.s not for the feint hearted,4,5,1,1
School is about to start!,5,5,5,5
Writing about an idea frees me of it - <PERSON>,5,5,1,1
you'd make your way in...i'd resist you just like this. YOU CAN'T TELL ME TO FEEL.,4,4,4,5
OH Sweet Victory. Beautiful win tonight 49ers.,7,7,2,2
a lot of people find themselves trapped in something that they've outgrown and are unhappy.. and they dont know how to get out of it because they think that they're supposed to make it happen..,6,2,2,3
On to the next one...,5,5,1,3
has been a subject to a lot of policy routing on the way home due to flooding caused by a heavy rain. Policy routing was implemented by cars with blinking blue lights standing 90 degrees to the direction of the road.,5,5,1,1
holy wind from hell Batman! where's the damn rain? the dirt is blowing in my eyes.,4,5,5,6
"274267 Shinobi Shozoku\ set925678 \""Garb of the Great Merchant\"" set437626 \""Armament of Germania\"" set373624 \""Armament of Gaul\"" set\""""",5,5,1,1
Ã¢â‚¬Å“You have indeed in the Messenger of Allah (swt) a beautiful pattern (of conduct)Ã¢â‚¬Â¦ (33:21),5,5,1,1
just found out that our tax return was rejected for one reason or another....<sigh>,4,4,2,3
"You and I wake up in a police cell together. Using only 4 words, what would you say to me? Note: If you comment, you must copy and paste this to your status, so I may comment on yours as well.. Be a good sport and play along... 4 words is harder than you think",5,5,2,3
limpezas day...,5,5,1,2
"Fairmont snowboard trip, fernie tomorrow. Woo hop!!",6,7,6,6
"registered to vote today. tking wife to do the same tomorrow... oct 8 is the deadline. whatever you beleive, please do this. in a democracy you get the leaders you deserve",5,5,1,3
Needs  a partner in Crime!!!,5,5,6,6
fuk a bitch stack chips get money!!,5,4,6,6
"Should be completely done painting, decorating and unpacking this weekend! Then its time for a HOUSE WARMING party...and drinks will be a flowin!!!..LOL",6,6,7,6
"If you're easily offended,	       -Fuck Off!!!",4,3,8,7
As usual going to work right now...,5,5,1,3
"Calling ALL MODELS!!!!!!! Model Call Wednesday, April 14th 2010 @ <ADDRESS>. Registration begins @ 7 pm SHARP!!!! Only $40, includes televised interviews, photoshoots, free admission to the Pre Freaknic Party beginning @ 11 pm later that night.",5,5,6,7
I have no time to waste!!!,5,5,5,7
visited Vanderbilt this weekend. It was interesting and gave me a lot to think about.,6,5,1,1
thank you everyone who said happy birthday,7,5,3,1
"What we think, we become !!!!!",5,5,6,8
"The play last, night was soooo long but it was really good!!! :)",6,7,6,7
"time is me & i should know, i knew this several months ago. I knew more than i do now, for I've been turned around somehow.",5,5,2,1
how are you,6,5,1,1
wants to thank my lucky stars for all the beautiful friendships I have made over the years :) I love you all and thank you for the birthday wishes  <3,7,9,3,3
Time for anthropology. Talk about fun. Lol,4,4,1,2
still sick...,4,4,1,3
i LOVE my guy friends so much! i would die without them! they r so awesome and amazing! so 2 all of my guy friends just knw tht i totally and completely LOVE you!,7,8,4,6
when you think that the fire is out stir the coals and throw another log on it. this fire is no where near burnt out.,6,5,2,1
Be anxious for nothing,5,5,1,1
- Thanks for the happy birthdays everyone :):),7,7,4,2
Oh yea and for my pep in town with me... The HORN Saturday for the PARTY!!!!!,5,6,7,8
Almost done unpackin. House looks beautiful. Lovin life...,7,8,2,2
Thanks You guys!!! Going to disney World!!,7,7,8,6
The heater and the hot water in my building arent workin. Im about to crash someones house with a bag of cloths and a bar of soap.,4,4,2,1
need to quit making an ass out of mi self,4,4,1,2
brazil :x,5,5,1,3
Boiling pasta,5,5,1,1
Arkham Asylum is far too addicting...,5,5,1,3
so bored,5,4,1,1
My name is <PERSON>....not <PERSON> anymore....wkwkwkwkwkwkwk,5,5,3,4
I am so exhausted after a long day at work. I need a foot massage! :),5,6,5,5
My face.. it feels like someone is punching it from the inside. Stupid sinuses.,4,4,3,3
why do you have to cut the back of your hair shorter than the front to become a nurse?,5,5,3,1
"hi,....now say something.",5,5,1,3
i eat a faqyt dik when i sck a fat pussy,4,5,2,3
"just chillin in detroit ,]",6,6,1,2
So I had to replace my damaged phone with a new one and lost a few more recent phone numbers so if you have my number send me a text with whom you are plz  thank you,5,5,1,1
There are better parts of me than my name for you to put in ya mouth....curious just ask me!!!!!!,5,5,7,7
Still waiting on that life changing phone call... maybe tomorrow...,5,4,2,3
holy cows eating corn chips! i have friends!? XD,6,6,5,5
I can trade any animal for an egret. as 1 egret is holding me from moving up to next level,5,5,3,1
NEWS24        Oxo are introducing a new white Oxo cube with a red cross in        support         of the England team.  It's called the Laughing Stock        All future England matches have been moved to the Gay Adult        Channel.         Apparently the sight of 11 arseholes getting hammered for 90        minutes         was far too explicit for ITV,5,3,1,3
Just got alot of songs for <PERSON> (Ddr on the computer xP) I have Still Alive also from Portal =D this should be fun!,6,6,4,5
"<PERSON>    all numbers up. IS NOW ON FACEBOOK!! NO JOKE. Go to the top right of         your screen, click Account then Edit Friends. Go to theleft side of your        screen and click Phonebook. Everyone's phone numbers are now         beingpublished. Please repost to let your friends know this is         ......happening so they can remove their ...numbers by.",5,4,3,6
"i had the best time lastnight it was only the first half day of spring break but me,r<PERSON>,<PERSON>,<PERSON>,<PERSON>,<PERSON>,<PERSON>,and <PERSON> had the best time we did so much and we still have a week to go. God i love my friends",6,8,2,1
blueberry,5,5,1,1
hopes he can stay at this really good job. I am so afraid of what could happen. Not for me...no. But my wife and kids. I'm who they depend on for substance.. to provide for them. To fail them would be hearbreaking. Pray for me to keep on keepin' on and trust in God to provide no matter what the outcome might be.,4,2,2,3
"Yes, I finally did it!!!",6,7,6,7
"Facebook game...here's the deal - IF you like me, you need to click LIKE\ to this status...real friends will click they like you""",5,5,1,3
good night.. bye..,5,5,1,3
"Change your Facebook profile picture to a cartoon from your childhood and invite your friends to do the same. Until Monday(Dec.6) there should be no human faces on Facebook, but an invasion of memories. This is for violence against children",5,5,1,1
"A normal person has 1,000 wishes. A MARINE only has one, to come home safe. I know 97% of you won't post this as your status, but the 3% that do are my friends. In honor of someone that died, a wounded warrior, or who is fighting for your freedom, please re-post in there own honor.",5,5,1,3
thank u all for the greetings:) it made my day happier to know how many woderfull people in my life are exist:) thanks all,7,8,2,2
It's saturday had a horrible friday nite hope today is a better day,6,3,1,1
Butt set....lol.,5,5,2,2
"Of those people who tryed QWOP and if you didnt, try it. Try to beet the score of 45.7 meters",5,5,1,1
well i'm out of here fb until next time peace & love...,5,6,2,3
did not buy myself flowers.... noooo.,5,5,2,1
did not get drunk on his 21st birthday. And they said it couldn't be done...,5,5,2,2
"I'm sad I don't have the Mountain network, so I missed my class on tv today.  Anyone tape it?",5,4,1,1
Put this on your status if you have the most beautiful DAUGHTER in the world!!! Ã¢Ëœâ€ Ã¢â‚¬Â¢*Ã‚Â¨*Ã¢â‚¬Â¢.Ã‚Â¸Ã‚Â¸Ã‚Â¸.Ã¢â‚¬Â¢*Ã‚Â¨* Ã¢â‚¬Â¢Ã¢Ëœâ€ Ã¢â‚¬Â¢*Ã‚Â¨* Ã¢â‚¬Â¢Ã‚Â¸Ã‚Â¸Ã‚Â¸.Ã¢â‚¬Â¢*Ã‚Â¨*Ã¢â‚¬Â¢Ã¢Ëœâ€ Ã¢â‚¬Â¢*Ã‚Â¨*Ã¢â‚¬Â¢Ã‚Â¸Ã‚Â¸Ã‚Â¸. Ã¢â‚¬Â¢*Ã‚Â¨*Ã¢â‚¬Â¢        .,6,7,4,6
thank u so much Anton for reminding me about Alter Space... great job man!,6,6,5,5
is slightly disturbed..,4,4,1,3
just got my bike now its me and everything that can live at 250 plus Rage against the machine! We ride together We die together..bad boys for life!,6,5,4,5
Can't wait for this darn test to be over with! Then I can move on to everything else. -w- Counting down the days. :),5,6,4,5
HAPPY BDAY NAYA..... LET ME KNOW WAT U DOIN 4 DA DAY BABES....,5,5,4,6
day in my life...,5,5,1,3
"....Supper - check, dishes - check, couch - check! Now I just need to find the ambition to shower b4 bed! Been a long day!",6,5,4,5
Went in and talked with the Snap-on rep today.  Ordered $1383.70 in tools (retail value).  Getting it all for FREE!  I'm excited!  Dad I'm having it sent to you so be expecting a package for me in a few weeks!,7,7,5,6
hates wen you lock up somthing and get it wrong an instintly now how to spell it corektly,5,4,2,1
i never really knew that you could dance like this...:))=)),6,6,2,3
took my temp and I'm running a fever of 101.2.  My whole body aches.  I feel like crappola but I have to work tonight cuz I can't afford to take it off since Curtis feels the need to steal from his wife. Fingada!!,3,3,4,5
we would get a foot of snow the year i decide to get dish,5,4,1,1
Lost a day yesterday.....thought it was Thursday when it was only Wednesday.........love holidays!!!,6,7,6,6
bored,5,4,1,1
Whats the theme of the cartoon pics?,5,5,1,1
This is my one and only life,5,5,1,1
"wonders who ever cried when listening to a guitar solo, is he the only one?",5,5,1,1
well it's about time i updated my photos...,5,5,2,3
i passed my grade :(,4,4,2,1
I need a job... man the economy sux no matter what you read in the news,4,3,3,3
Life indeed would be dull if there were no such difficulties.,5,5,2,1
"Is getting his business together ,)",6,7,3,3
hey thnks to all of you...,6,5,2,3
What a lethal weekend had with the girls and coyles halls feins! Theres no way a kidney infection was guna stop me from gettin wasted! So much funny shit went down that i dont even no wer to begin... Newcastle you've won me over!,6,7,5,5
Bazinga!,5,5,5,5
Paitence is a virtue i really need to work on.,5,4,2,1
home :)),6,6,1,3
why isnt anyone online?????,4,4,3,5
Dude i payed a visit to wlo today and i got into an argument :D typical scorp eitherway,6,6,3,3
doesn't like it when cursors jump around and you end up typing somewhere you didn't intend to...,5,4,1,3
"I had been invited lately by three friends to grace their respective daughter's grand day -- 2 birthday celebrations and 1 baptismal...that is consecutively...i missed the birthday celebrations but made it to the baptismal reception...my apologies to <PERSON>and <PERSON>..my birthday wishes to both of your angels and to <PERSON>,<PERSON>is such a dolly...",6,5,2,3
"A friend is some one who gives u a tissue when u cry, but a BEST FRIEND is some one who has a tissue and a shovel to bury the person that made you cry!",6,5,5,5
just chillin on my day off tell i go watch my kids,5,5,2,1
<PERSON> Happy Mother'sz Day : ),6,6,2,2
"is in LOVE with F.R.I.E.N.D.S (the tv show, not actual friends)",6,6,3,2
Thanks for the birthday wishes. You guys are awesome.,7,7,3,1
GOING GOLFING TODAY,6,5,3,5
Now I need Only Some HARNESS to build my stable plz send as soon as possible,5,5,3,1
"Well, after Friday night, I'm feeling abit better going into work today. Nothing like a party and some time with friends to recharge the batteries.",6,7,2,1
is a love that flows  Through me like this  This will fall away,5,5,2,1
is sick.,4,4,1,1
Thank u :) feels gr8 2 have such loving ppl around u:):):),7,9,3,3
THE END IS NEAR WE ARE ALL GOING TO DIE,2,3,4,5
so sleepy and tired..... zzzzz,5,5,1,3
"Man, I have to start getting up early more often. :-|",5,4,2,2
", with the help of his friends, one <PERSON>, and super reggae artist Snow, had one of the best birthdays in history.",6,8,2,1
what a sity day of mine,3,5,2,1
"Underwood Mayne has a gig at Mermaid Tavern on Thursday night! So if you're not doing anything, or if you are, please come and see us Live! on a side note, we'll be available for signing random possessions after the show.        See you there!!",6,6,6,5
i got a used wristband from colt mccoy. he walked out to me and gave it to me,5,6,3,1
Finally in Cable Bay! Beautiful sunny weather. Can't wait for <PERSON> and <PERSON> to get up here on the 27th...,6,7,4,5
i love mcdonalds,6,6,1,1
is seriously sick. :(,3,3,1,2
Here we go :),6,6,3,2
size matters not,5,6,1,1
Merry Christmas everyone!!!!!,7,6,7,7
It is such a nice day out :),7,7,2,2
STOP... 2 minggu lagi semuanya sudah selesai... I think i will miss u when this all over :) U already teach me many thing with many real experience. I hope that i never forget everything that you teach me.,6,8,3,3
"Well, Thank you God for blessing me to see one more year.........",7,6,2,2
Q-Why uu always so quiet? A- im not dat quiet -__-,5,5,2,4
"I WILL BE COMPLETELY HONEST FOR 24 HOURS. You can ask me ONE question(only in my inbox). I will answer no matter what. You have my full honesty, but I dare you to put this as your status and see what questions are asked",5,5,4,4
you just got F'd in the A!!! lol,5,5,7,6
p.s.  that had to be the longest wedding EVER!,5,5,7,6
"its my daddy's birfdayy. gonna be mexicanT and eat taaacos. (, the pink ones. jk",5,6,3,3
Some nistakes are too much fun to only make once.,5,6,2,1
ENJOYING ALASKA,6,7,3,5
is hanging with familly at lake,5,5,2,1
is gg-ed for the exam nxt week..,5,4,1,1
can't find any better profile pictures than this.,5,5,1,1
my girls are finally coming home after being gone for five and half weeks!!! no more late night parties!,5,6,7,6
give me presents in farmville pls... thanks.. =),6,6,3,4
just ate some hamburgers and now i am gonna go chill,6,5,2,1
"never make someone your priority, when all you are to them, is an option.",5,4,2,1
"My favorite bruise is fading, almost gone, but not the memory, not for me anyway.....",5,5,2,3
"Our doubts are traitors  and make us lose the good we oft might win, by fearing to attempt   Shakespeare",5,5,1,1
Realises why people are looking at him strange. He smells bad and needs a shower!! Off I go so to get clean and smell nice,5,4,5,5
"Worst thanksgiving ever. Broke mand hand, got a cast, and wont be able to play basketball this season or any other sport for the next 2 months. F**king great",3,2,4,3
Micah and I are on our way home from a wonderful visit in Arizona. THANK YOU to all the Goins' Clan for such a warm welcome!,6,8,5,5
"has decided to slowly remove all fair weather, negative and fake people from my life so if I no longer respond to you, just realize you fall in 1 of the 3",6,3,3,3
Remembering the ones who died in the islamic terror attacks 8yrs. ago.  I was at BPC waiting for Bel to get out of class and overheard someone say a plane crashed into a building in the student center.  Then spent about 3hrs with 15-20 people watching one small tv news.,5,5,2,1
"Homelessgo without eating. Elderly go without medicines. Mentally ill fight fortreatment. Troops go without the proper equipment. Veterans go without benefits that were promised to them! Yet we donate millions of pounds toother countries. It's time to sort our country out first! 1% will repost and the 99% of people on Facebook won't. I KNOW I'm the 1%, what about you?",4,3,3,5
god damn my liver wants to hurry up and decide if its healthy or not! :(,4,3,5,5
